,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development,JAVA
0,2007-01-01,4,12,16,2,62,1,0,4,15,1,2,73,32,0,0,86,7,66,3,26,12,100,0,35,92
1,2007-02-01,3,14,17,3,65,0,0,4,16,1,2,69,30,0,0,94,4,59,2,25,7,89,0,36,100
2,2007-03-01,4,14,15,3,62,1,0,4,17,0,2,69,29,0,0,86,3,60,3,29,11,70,0,33,99
3,2007-04-01,3,12,14,3,61,1,0,4,15,0,2,64,27,0,0,84,5,64,3,25,12,38,0,29,92
4,2007-05-01,3,13,15,3,62,1,0,4,14,1,2,79,28,0,0,91,3,71,3,27,8,46,0,38,95
5,2007-06-01,4,15,15,2,63,1,0,4,12,1,1,82,26,0,0,99,7,75,3,30,13,48,0,34,90
6,2007-07-01,3,16,14,3,71,1,0,4,14,1,1,84,27,0,0,93,5,79,4,30,15,51,0,37,87
7,2007-08-01,3,17,17,2,71,1,0,3,12,1,2,82,25,0,0,100,5,77,4,33,7,54,0,31,89
8,2007-09-01,4,15,18,2,67,1,0,4,20,0,1,75,32,0,0,83,4,78,3,25,10,58,0,32,92
9,2007-10-01,3,14,15,2,61,1,0,3,17,0,2,71,32,0,0,94,4,74,3,25,15,50,0,23,97
10,2007-11-01,3,13,16,2,75,1,0,4,15,1,2,68,24,0,0,89,5,73,3,20,15,48,0,23,88
11,2007-12-01,3,13,16,2,59,1,0,2,16,1,2,71,24,0,0,73,3,64,2,19,12,54,0,22,75
12,2008-01-01,4,14,18,2,61,1,0,4,15,1,2,69,31,0,0,85,5,66,4,25,11,60,0,33,84
13,2008-02-01,4,15,16,3,63,1,0,4,18,1,2,67,30,0,0,93,4,63,2,24,13,59,0,22,94
14,2008-03-01,3,14,15,3,61,1,0,4,18,1,1,67,31,0,0,92,4,72,3,28,12,56,0,35,94
15,2008-04-01,4,14,15,3,65,1,0,4,16,0,2,71,31,0,0,93,3,76,3,33,10,45,0,27,92
16,2008-05-01,3,14,15,3,65,1,0,4,17,1,2,77,26,0,0,88,5,73,3,32,12,50,0,34,85
17,2008-06-01,4,17,14,3,69,1,0,3,14,1,2,85,27,0,0,98,4,75,4,31,14,38,0,29,83
18,2008-07-01,4,18,13,2,70,1,0,4,13,0,1,89,24,0,0,94,4,79,4,35,11,49,0,34,85
19,2008-08-01,4,17,16,3,66,1,0,4,14,1,1,86,26,0,0,94,2,80,3,33,10,52,0,37,78
20,2008-09-01,4,23,21,2,61,1,0,5,23,1,2,78,38,0,0,90,3,77,3,30,11,65,0,32,84
21,2008-10-01,4,20,17,3,65,1,0,3,19,1,2,77,33,0,0,87,4,73,3,30,19,39,0,30,83
22,2008-11-01,3,21,17,3,82,1,0,3,19,1,2,73,31,0,0,83,3,75,3,25,14,49,0,26,80
23,2008-12-01,4,24,17,2,68,1,0,3,17,1,3,78,28,0,0,82,5,70,3,21,13,50,0,31,76
24,2009-01-01,4,25,17,2,65,1,0,3,17,1,2,81,33,0,0,81,4,69,3,27,14,54,0,31,76
25,2009-02-01,3,23,16,2,67,1,0,4,18,0,2,73,33,0,0,92,3,65,3,27,15,39,0,36,86
26,2009-03-01,4,23,18,2,68,1,0,3,20,1,2,75,31,0,0,93,4,76,3,27,19,50,0,28,86
27,2009-04-01,3,21,15,2,67,1,0,4,17,1,2,78,33,0,0,91,2,80,3,29,14,39,0,32,87
28,2009-05-01,3,21,15,2,69,1,0,4,18,1,3,88,25,0,0,83,3,80,3,33,14,29,0,31,74
29,2009-06-01,3,26,16,3,72,1,0,4,15,1,2,89,28,0,0,97,5,79,3,36,17,43,0,29,74
